County,FIPS,Democrats,Republicans,Libertarians,Green,NoLabels,Constitution,JusticeForAll,WeThePeople,Unaffiliated,White,Black,AmericanIndian,NativeHawaiian,Asian,Multiracial,Undesignated,Other,Hispanic,Male,Female,UnDisclosedGender,Total,Week Ending
JACKSON,099,8299,8451,252,16,12,0,0,0,12695,24394,616,1524,6,238,186,2111,650,775,12986,14540,2199,29725,05/18/2024
JOHNSTON,101,39871,57603,1215,47,314,0,0,0,56526,104556,25943,436,16,949,645,16158,6873,8960,67404,77549,10623,155576,05/18/2024
JONES,103,2458,2358,35,0,8,0,0,0,2318,4436,2022,13,1,20,23,565,97,106,3074,3532,571,7177,05/18/2024
LEE,105,12373,12006,289,9,35,0,0,0,14819,25363,7319,140,6,258,270,3718,2457,3485,16590,19822,3119,39531,05/18/2024
LENOIR,107,16339,10488,148,12,77,0,0,0,10915,18805,14682,64,7,103,126,3352,840,892,15350,19269,3360,37979,05/18/2024
LINCOLN,109,11677,32063,433,15,62,0,0,0,23407,56969,3643,89,2,323,151,4808,1672,2151,30054,32684,4919,67657,05/18/2024
MACON,113,4915,12477,194,3,7,0,0,0,10767,25973,201,65,0,117,63,1418,526,584,13119,14758,486,28363,05/18/2024
MADISON,115,4889,4808,117,10,22,0,0,0,7131,15215,128,27,0,48,44,1311,204,193,7449,8024,1504,16977,05/18/2024
MARTIN,117,7566,3511,52,2,4,0,0,0,4800,8537,6259,28,0,24,51,830,206,194,6665,8451,819,15935,05/18/2024
MCDOWELL,111,5484,13116,184,6,32,0,0,0,11062,27062,819,36,1,139,128,1122,577,642,13566,15010,1308,29884,05/18/2024
MECKLENBURG,119,322454,155768,5948,274,989,0,0,0,302754,404118,240268,2072,64,22745,5096,71423,42401,45754,330984,397495,59708,788187,05/18/2024
MITCHELL,121,1041,6488,44,3,6,0,0,0,3642,10069,41,12,1,15,14,979,93,145,4972,5451,801,11224,05/18/2024
MONTGOMERY,123,5018,6313,84,2,14,0,0,0,5622,11920,2943,45,1,183,44,1283,634,836,7497,8449,1107,17053,05/18/2024
MOORE,125,14919,31041,626,14,49,0,0,0,28516,60434,7419,356,6,638,227,3898,2187,1837,33006,38770,3389,75165,05/18/2024
NASH,127,28133,19381,310,8,82,0,0,0,19329,33953,26053,348,4,337,282,4365,1901,1878,28367,34659,4217,67243,05/18/2024
NORTHAMPTON,131,7656,1565,38,4,12,0,0,0,3384,5032,6914,35,0,7,20,562,89,68,5482,6543,634,12659,05/18/2024
ONSLOW,133,24117,48065,1812,34,179,0,0,0,52256,85944,19195,473,37,1743,835,11457,6779,7927,54022,62292,10149,126463,05/18/2024
ORANGE,135,50233,13284,556,30,47,0,0,0,44654,75393,11500,234,2,5161,1034,11302,4178,4369,44706,53066,11032,108804,05/18/2024
PAMLICO,137,2765,4165,61,5,8,0,0,0,3292,8015,1426,27,0,40,16,657,115,121,4578,5113,605,10296,05/18/2024
PASQUOTANK,139,10926,7666,218,7,36,0,0,0,11107,16914,9908,40,2,157,168,2088,683,439,12842,15052,2066,29960,05/18/2024
PENDER,141,10775,19838,429,14,58,0,0,0,18161,37917,5778,125,4,224,150,3827,1250,1361,21531,23868,3876,49275,05/18/2024
PERQUIMANS,143,2894,3582,58,2,12,0,0,0,3715,7569,1971,19,2,21,24,549,108,65,4492,5191,580,10263,05/18/2024
PERSON,145,9394,8241,124,6,18,0,0,0,9935,18006,6881,117,2,58,102,2002,550,549,11935,13909,1874,27718,05/18/2024
PITT,147,47958,30746,786,35,134,0,0,0,42273,64928,40415,249,8,1064,697,10154,4417,3542,49266,61759,10907,121932,05/18/2024
