County,FIPS,Democrats,Republicans,Libertarians,Green,NoLabels,Constitution,JusticeForAll,WeThePeople,Unaffiliated,White,Black,AmericanIndian,NativeHawaiian,Asian,Multiracial,Undesignated,Other,Hispanic,Male,Female,UnDisclosedGender,Total,Week Ending
ALAMANCE,001,37085,36406,697,24,33,0,0,0,38553,73430,23334,253,10,1054,671,9579,4467,5873,47037,57081,8680,112798,01/01/2024
ALEXANDER,003,4184,12106,116,3,16,0,0,0,8565,21914,954,35,1,148,37,1548,353,494,11322,12102,1566,24990,01/01/2024
ALLEGHANY,005,1773,3306,43,0,5,0,0,0,2780,7030,73,7,0,6,15,649,127,232,3516,3800,591,7907,01/01/2024
ANSON,007,8866,3103,57,1,8,0,0,0,4092,6805,6470,31,1,96,23,2522,179,138,6121,7420,2586,16127,01/01/2024
ASHE,009,3748,9189,102,2,10,0,0,0,7037,18500,110,25,2,50,19,1171,211,319,9054,9971,1063,20088,01/01/2024
AVERY,011,1287,7282,64,1,8,0,0,0,4058,11533,59,19,0,24,20,928,117,115,5675,6224,801,12700,01/01/2024
BEAUFORT,013,10305,12676,136,3,11,0,0,0,10824,23742,7141,42,2,61,72,2228,667,653,14545,17086,2324,33955,01/01/2024
BERTIE,015,7673,1672,37,1,0,0,0,0,3180,4564,7095,20,1,32,17,768,66,54,5243,6555,765,12563,01/01/2024
BLADEN,017,9264,5427,89,2,5,0,0,0,7620,12584,7505,407,3,23,90,1299,496,595,9784,11552,1071,22407,01/01/2024
BRUNSWICK,019,27364,52634,700,18,55,0,0,0,49766,108616,8912,381,9,506,258,9744,2111,2026,55477,64258,10802,130537,01/01/2024
BUNCOMBE,021,72882,44585,1652,98,102,0,0,0,87696,172265,10111,339,45,1536,993,16425,5301,5254,88239,103598,15178,207015,01/01/2024
BURKE,023,12574,23400,356,7,16,0,0,0,22173,48925,3059,90,1,931,126,4078,1316,1367,25635,28619,4272,58526,01/01/2024
CABARRUS,025,43573,51036,1218,59,152,0,0,0,57832,96806,31108,397,11,3456,747,14723,6622,7209,64479,75749,13642,153870,01/01/2024
CALDWELL,027,9351,26420,372,5,21,0,0,0,17408,45918,2546,71,0,183,133,3826,900,1137,23751,26275,3551,53577,01/01/2024
CAMDEN,029,1423,3182,75,0,7,0,0,0,3772,6933,931,10,1,35,18,383,148,62,3870,4155,434,8459,01/01/2024
CARTERET,031,9411,25832,360,5,31,0,0,0,20572,48624,2220,103,7,292,136,4128,701,713,24364,27588,4259,56211,01/01/2024
CASWELL,033,5971,4235,61,2,5,0,0,0,4880,9379,4534,22,1,29,49,931,209,231,6633,7573,948,15154,01/01/2024
CATAWBA,035,20191,47999,677,17,106,0,0,0,42055,86363,8669,144,4,2476,347,8715,4327,4801,48424,53972,8649,111045,01/01/2024
CHATHAM,037,21044,14281,331,11,33,0,0,0,24773,44496,5858,124,3,1049,256,6776,1911,2286,24938,29035,6500,60473,01/01/2024
CHEROKEE,039,3355,11789,149,1,7,0,0,0,7813,21528,243,121,1,87,32,881,221,234,10886,11752,476,23114,01/01/2024
CHOWAN,041,3651,3134,44,0,7,0,0,0,3494,6720,2859,13,5,15,27,581,110,86,4467,5485,378,10330,01/01/2024
CLAY,043,1398,4759,59,0,2,0,0,0,3560,9178,43,16,0,17,10,440,74,90,4466,4906,406,9778,01/01/2024
CLEVELAND,045,19845,25842,407,11,32,0,0,0,21104,46867,13209,88,4,309,217,5451,1096,1045,28641,33264,5336,67241,01/01/2024
COLUMBUS,047,14085,10729,115,5,3,0,0,0,11267,21950,10208,943,4,63,84,2387,565,532,15545,18405,2254,36204,01/01/2024
CRAVEN,049,20005,28039,596,19,76,0,0,0,26815,52751,14142,178,8,1165,293,4727,2286,2166,32421,38492,4637,75550,01/01/2024
CUMBERLAND,051,86978,48658,1831,65,190,0,0,0,74354,85909,84508,2347,67,3389,2060,20886,12910,13608,85279,106255,20542,212076,01/01/2024
CURRITUCK,053,3400,10070,215,4,18,0,0,0,10196,20745,1187,46,3,104,75,1309,434,239,10990,11628,1285,23903,01/01/2024
DARE,055,7524,11332,260,10,17,0,0,0,13862,29844,548,37,1,126,63,1821,565,345,14854,16366,1785,33005,01/01/2024
DAVIDSON,057,21358,55630,698,17,96,0,0,0,37571,91692,10633,239,7,836,266,8888,2809,3203,50057,56767,8546,115370,01/01/2024
DAVIE,059,4672,16417,162,10,37,0,0,0,10990,27176,1917,47,0,138,79,2311,620,844,14315,15961,2012,32288,01/01/2024
DUPLIN,061,10739,9781,136,7,25,0,0,0,10440,18219,8069,67,1,69,123,3062,1518,2298,13217,15455,2456,31128,01/01/2024
DURHAM,063,124462,23297,1191,69,186,0,0,0,84448,113118,72783,572,33,8492,2676,26354,9625,11472,92334,117282,24037,233653,01/01/2024
EDGECOMBE,065,20479,6581,104,3,26,0,0,0,6921,11972,19221,59,2,46,113,2126,575,601,13843,18173,2098,34114,01/01/2024
FORSYTH,067,97171,70646,1692,74,179,0,0,0,92611,158241,64854,506,30,3333,1508,23695,10206,13345,107573,132525,22275,262373,01/01/2024
FRANKLIN,069,16773,16106,388,6,34,0,0,0,18205,32634,11931,140,3,302,187,4707,1608,1853,21574,24748,5190,51512,01/01/2024
GASTON,071,40498,60107,1178,27,172,0,0,0,53418,107956,27288,331,4,1328,666,12641,5186,5901,66149,77857,11394,155400,01/01/2024
GATES,073,3445,2085,38,2,4,0,0,0,2623,5085,2447,16,0,11,40,514,84,53,3574,4078,545,8197,01/01/2024
GRAHAM,075,1103,3048,32,0,1,0,0,0,1883,5505,10,260,1,19,6,229,37,36,2836,3023,208,6067,01/01/2024
GRANVILLE,077,15947,10934,224,6,40,0,0,0,13181,22991,11428,79,3,179,190,4234,1228,1173,16375,19004,4953,40332,01/01/2024
GREENE,079,4854,2496,28,1,8,0,0,0,3469,5917,3755,12,0,18,24,678,452,500,4679,5610,567,10856,01/01/2024
GUILFORD,081,154777,88179,2208,86,205,0,0,0,128981,192500,124367,946,27,9564,2671,30205,14156,13857,156932,195821,21683,374436,01/01/2024
HALIFAX,083,20336,4840,97,2,27,0,0,0,10243,13591,18275,1031,5,170,137,1944,392,301,15162,18499,1884,35545,01/01/2024
HARNETT,085,23968,30670,796,26,92,0,0,0,29913,52907,17441,469,16,651,513,9035,4433,5317,35558,41774,8133,85465,01/01/2024
HAYWOOD,087,12092,16122,311,11,19,0,0,0,17309,42311,471,114,0,152,97,2202,517,610,20671,23496,1697,45864,01/01/2024
HENDERSON,089,17195,31945,622,24,52,0,0,0,38980,77147,2365,146,10,522,388,5926,2314,2852,38076,45294,5448,88818,01/01/2024
HERTFORD,091,8819,1553,38,1,4,0,0,0,3343,4456,8284,94,2,40,57,683,142,99,5690,7429,639,13758,01/01/2024
HOKE,093,13760,7387,312,14,18,0,0,0,11882,13136,12600,1959,16,342,256,2754,2310,2421,14458,17309,1606,33373,01/01/2024
HYDE,095,1360,674,15,0,0,0,0,0,1101,2357,568,0,0,1,8,176,40,62,1398,1587,165,3150,01/01/2024
IREDELL,097,27345,56706,895,26,90,0,0,0,52481,107005,14776,224,5,1483,455,9546,4049,4779,60638,67287,9618,137543,01/01/2024
JACKSON,099,8469,8442,254,15,9,0,0,0,12539,24378,621,1543,6,241,185,2133,621,749,12948,14568,2212,29728,01/01/2024
JOHNSTON,101,39915,57084,1230,49,224,0,0,0,55689,103653,25688,425,17,932,647,16285,6544,8676,66684,76919,10588,154191,01/01/2024
JONES,103,2493,2307,36,0,8,0,0,0,2279,4414,2040,12,1,19,23,522,92,103,3064,3527,532,7123,01/01/2024
LEE,105,12472,11945,282,8,27,0,0,0,14572,25266,7299,140,6,248,272,3740,2335,3385,16480,19716,3110,39306,01/01/2024
LENOIR,107,16435,10402,148,12,57,0,0,0,10655,18764,14646,64,7,100,125,3220,783,846,15292,19171,3246,37709,01/01/2024
LINCOLN,109,11763,31821,424,14,48,0,0,0,23138,56629,3622,87,2,317,152,4785,1614,2107,29900,32437,4871,67208,01/01/2024
MACON,113,4980,12408,192,3,4,0,0,0,10550,25776,197,63,0,115,63,1427,496,557,13018,14639,480,28137,01/01/2024
MADISON,115,4976,4790,119,10,14,0,0,0,7056,15258,128,26,0,47,45,1268,193,192,7455,8053,1457,16965,01/01/2024
MARTIN,117,7627,3479,52,2,2,0,0,0,4725,8502,6256,28,0,25,53,827,196,190,6645,8428,814,15887,01/01/2024
MCDOWELL,111,5610,13007,182,6,26,0,0,0,10937,26961,821,36,1,136,126,1133,554,616,13500,14951,1317,29768,01/01/2024
MECKLENBURG,119,322256,154942,5933,230,716,0,0,0,297714,401450,238630,2046,60,22285,5139,71135,41046,44641,328083,394503,59205,781791,01/01/2024
MITCHELL,121,1050,6458,44,3,5,0,0,0,3606,10037,40,12,1,13,14,959,90,144,4940,5444,782,11166,01/01/2024
MONTGOMERY,123,5067,6250,86,2,9,0,0,0,5520,11863,2956,46,0,182,42,1262,583,788,7437,8418,1079,16934,01/01/2024
MOORE,125,15033,30865,623,10,33,0,0,0,28183,60080,7426,348,6,619,232,3927,2109,1761,32790,38541,3416,74747,01/01/2024
NASH,127,28338,19339,308,7,57,0,0,0,19167,33927,26057,348,4,333,283,4416,1848,1826,28305,34654,4257,67216,01/01/2024
NORTHAMPTON,131,7771,1589,40,3,9,0,0,0,3358,5077,6984,35,0,7,21,560,86,67,5543,6594,633,12770,01/01/2024
ONSLOW,133,24259,47564,1818,32,137,0,0,0,50931,84936,18978,467,32,1728,828,11231,6541,7728,53304,61536,9901,124741,01/01/2024
ORANGE,135,50412,13241,563,25,37,0,0,0,44050,75117,11484,234,1,5078,1033,11367,4014,4257,44435,52821,11072,108328,01/01/2024
PAMLICO,137,2814,4090,60,5,3,0,0,0,3231,7946,1435,26,0,39,16,635,106,113,4532,5092,579,10203,01/01/2024
PASQUOTANK,139,10966,7584,219,7,19,0,0,0,10993,16802,9886,40,2,158,170,2070,660,428,12743,15004,2041,29788,01/01/2024
PENDER,141,10832,19514,422,12,42,0,0,0,17857,37427,5751,124,5,216,149,3806,1201,1317,21247,23587,3845,48679,01/01/2024
PERQUIMANS,143,2919,3538,57,2,8,0,0,0,3683,7547,1963,19,2,20,25,530,101,62,4483,5164,560,10207,01/01/2024
PERSON,145,9456,8156,124,6,15,0,0,0,9801,17927,6860,117,3,57,102,1975,517,520,11853,13857,1848,27558,01/01/2024
PITT,147,48099,30552,785,30,97,0,0,0,41962,64680,40246,246,8,1047,710,10297,4291,3442,48995,61466,11064,121525,01/01/2024
POLK,149,3598,6171,113,3,9,0,0,0,6602,14624,581,9,2,50,36,936,258,298,7317,8656,523,16496,01/01/2024
RANDOLPH,151,14916,49536,600,7,54,0,0,0,29969,77576,6025,309,6,705,218,6767,3476,3921,42090,47008,5984,95082,01/01/2024
RICHMOND,153,11850,7499,128,6,22,0,0,0,8792,16666,8779,416,0,152,61,1467,756,583,12396,14607,1294,28297,01/01/2024
ROBESON,155,34933,13543,238,8,65,0,0,0,23585,20226,18913,24946,18,300,454,4644,2871,2212,31020,38637,2715,72372,01/01/2024
ROCKINGHAM,157,17499,24231,331,12,32,0,0,0,19041,42753,11004,101,0,210,170,5745,1163,1254,27193,31918,2035,61146,01/01/2024
ROWAN,159,22356,41385,624,16,101,0,0,0,32115,70345,15217,181,6,501,343,7361,2643,3116,41701,47579,7317,96597,01/01/2024
RUTHERFORD,161,9842,19876,256,6,25,0,0,0,16104,37506,3959,55,0,130,119,3501,839,904,19935,22937,3237,46109,01/01/2024
SAMPSON,163,12623,15362,177,2,37,0,0,0,9654,22036,9955,532,0,91,127,2962,2152,2868,16413,19505,1937,37855,01/01/2024
SCOTLAND,165,9882,4598,72,4,20,0,0,0,6870,9621,8040,1692,10,162,86,1578,257,225,8808,11166,1472,21446,01/01/2024
STANLY,167,8430,20990,214,19,67,0,0,0,14359,34055,4533,80,3,425,66,4178,739,716,18632,21130,4317,44079,01/01/2024
STOKES,169,5196,16877,214,9,17,0,0,0,9852,27664,1178,52,1,60,79,2758,373,454,15299,16811,55,32165,01/01/2024
SURRY,171,9183,22149,239,13,24,0,0,0,15760,40249,1680,47,2,124,96,3776,1394,2090,20881,23415,3072,47368,01/01/2024
SWAIN,173,2778,3078,67,4,1,0,0,0,3827,7456,96,1533,1,35,30,487,117,81,4426,4932,397,9755,01/01/2024
TRANSYLVANIA,175,5699,8408,149,2,11,0,0,0,11829,23300,719,48,1,85,73,1572,300,256,11403,13180,1515,26098,01/01/2024
TYRRELL,177,1000,450,8,0,0,0,0,0,799,1385,627,3,0,18,5,178,41,40,990,1083,184,2257,01/01/2024
UNION,179,39769,69834,1171,40,128,0,0,0,65165,123537,19726,515,10,4081,783,19478,7977,8848,75582,83962,16563,176107,01/01/2024
VANCE,181,16085,4973,104,7,22,0,0,0,6908,11257,13930,56,1,91,104,1977,683,741,11534,14757,1808,28099,01/01/2024
WAKE,183,286036,175419,6342,235,619,0,0,0,345860,499356,146029,2086,57,33471,5539,87473,40500,35533,343303,394251,76957,814511,01/01/2024
WARREN,185,7748,2264,43,1,8,0,0,0,3012,5406,6187,526,2,26,44,718,167,124,5602,6762,712,13076,01/01/2024
WASHINGTON,187,4532,1375,25,0,1,0,0,0,1944,3593,3718,9,0,18,16,441,82,63,3309,4152,416,7877,01/01/2024
WATAUGA,189,11363,12382,397,45,9,0,0,0,20081,38597,841,62,11,372,466,3157,771,1262,19075,22128,3074,44277,01/01/2024
WAYNE,191,26707,25387,437,14,115,0,0,0,21483,41161,23223,131,5,520,341,5257,3505,3125,31149,37470,5524,74143,01/01/2024
WILKES,193,6790,24009,206,5,19,0,0,0,12818,38363,1580,47,0,130,118,2840,769,956,19378,21450,3019,43847,01/01/2024
WILSON,195,24726,13825,246,9,52,0,0,0,15982,26851,21771,110,0,273,167,3725,1943,1866,22948,28814,3078,54840,01/01/2024
YADKIN,197,2958,14122,132,2,14,0,0,0,7533,21565,724,26,1,57,37,1615,736,987,11098,12129,1534,24761,01/01/2024
YANCEY,199,3728,5379,83,1,8,0,0,0,5027,12983,74,25,1,28,26,952,137,150,6396,6996,834,14226,01/01/2024
ALAMANCE,001,37089,36421,696,24,36,0,0,0,38581,73450,23344,255,10,1056,671,9579,4482,5882,47057,57105,8685,112847,01/06/2024
ALEXANDER,003,4197,12190,116,3,17,0,0,0,8668,22087,965,35,1,152,37,1552,362,501,11424,12196,1571,25191,01/06/2024
ALLEGHANY,005,1774,3326,43,0,5,0,0,0,2795,7059,74,7,0,6,15,649,133,237,3539,3812,592,7943,01/06/2024
ANSON,007,8884,3119,57,1,9,0,0,0,4136,6851,6496,31,1,97,23,2523,184,141,6169,7449,2588,16206,01/06/2024
ASHE,009,3745,9192,102,2,10,0,0,0,7046,18506,112,25,2,51,19,1171,211,319,9057,9975,1065,20097,01/06/2024
AVERY,011,1287,7283,64,1,8,0,0,0,4056,11532,59,19,0,24,20,929,116,114,5675,6223,801,12699,01/06/2024
BEAUFORT,013,10339,12810,137,3,13,0,0,0,10979,23954,7183,42,2,61,72,2262,705,678,14682,17240,2359,34281,01/06/2024
BERTIE,015,7671,1675,37,1,0,0,0,0,3179,4564,7094,20,1,32,17,769,66,54,5241,6557,765,12563,01/06/2024
BLADEN,017,9275,5453,89,2,5,0,0,0,7686,12639,7524,408,3,23,91,1322,500,600,9826,11591,1093,22510,01/06/2024
BRUNSWICK,019,27406,52904,702,18,59,0,0,0,50097,109144,8974,382,9,509,258,9739,2171,2068,55796,64578,10812,131186,01/06/2024
BUNCOMBE,021,73129,44823,1660,104,117,0,0,0,88628,173461,10182,339,45,1553,991,16444,5446,5371,88959,104293,15209,208461,01/06/2024
BURKE,023,12587,23461,355,7,19,0,0,0,22234,49045,3063,90,1,931,126,4077,1330,1378,25710,28680,4273,58663,01/06/2024
CABARRUS,025,43602,51076,1219,61,154,0,0,0,57943,96886,31170,399,11,3462,748,14725,6654,7234,64572,75826,13657,154055,01/06/2024
CALDWELL,027,9373,26571,373,5,25,0,0,0,17545,46171,2562,72,0,186,133,3834,934,1162,23895,26436,3561,53892,01/06/2024
CAMDEN,029,1422,3184,75,0,7,0,0,0,3771,6934,930,10,1,35,18,383,148,62,3868,4157,434,8459,01/06/2024
CARTERET,031,9417,25969,361,5,33,0,0,0,20830,48960,2238,103,7,294,136,4136,741,746,24552,27799,4264,56615,01/06/2024
CASWELL,033,5982,4243,62,2,5,0,0,0,4897,9399,4545,22,1,30,49,933,212,233,6650,7591,950,15191,01/06/2024
CATAWBA,035,20242,48329,679,18,111,0,0,0,42537,87008,8720,144,4,2512,346,8718,4464,4940,48847,54407,8662,111916,01/06/2024
CHATHAM,037,21114,14320,336,11,37,0,0,0,24930,44672,5877,124,3,1058,258,6804,1952,2327,25060,29159,6529,60748,01/06/2024
